No.,Entity_Name,Region,Description,Business,Services,Website,Address,Contact_Person,Tel,Fax,Email,Others,Role1,Role_Description1,Product1,Quantity1,Price1,Role2,Role_Description2,Product2,Quantity2,Price2,Role3,Role_Description1,Product3,Quantity3,Price3
60,EVER GLOBAL ENT CORP LTD,Thailand,"Company Overview
OEM/ODM Enterprise with a 20,000sqm Factory
GMP Certification|Since 2021|Export to the United States

OEM/ODM Enterprise with a 20,000sqm Factory
Ever Global Ent Corp Ltd is a professional OEM and ODM processing enterprise. We integrate the R&D, production and sale as one. We have a factory covering an area of more than 20,000 square meters.

Passed ISO 9001 Certification
The construction conditions of our workshop are completely following the GMP certification requirement, and we have passed the ISO 9001 certification. Our stock room, laboratory, filling, inner packaging sterilization storage and locker room adopt 100,000-grade purification standards, and other regions comply with 300,000 air purification standards.

Our Advantages
Currently, we have a number of modern production lines. We set the domestic advanced emulsion, automatic filling, sterilization and testing equipment, with various kinds of cream, shampoo, and cosmetics production conditions and abilities. At the same time, the factory not only can produce a variety of forms, specifications, and varieties of cosmetics but also realize the detection of cosmetics in all routine inspection items, ensuring the safety of the product.

Exporting to the United States, Southeast Asia, the Middle East
We provide the most suitable product formula for all kinds of skin around the world population. Our products are exported worldwide, such as Europe, the United States, Southeast Asia, the Middle East, Africa, etc.
Contact us now to learn more.  ",Distributor,"1. Agent
2. Exporter
3. Manufacturer
4. Distributor
5. Wholesaler",http://www.globalsources.com/everglobal.co,"24 SOI CENTSATHIAN, SOMDET CHAOPHRAYA ROAD, 
SOMDET CHAOPHRAYA, KLONGSAN, 10600 BANGKOK, THAILAND/TH","Mrs. SAETUN WACHARA
CEO",,,,"Established: 2021
Total Annual Sales: US$100,000 to 199,999
Export Percentage: NA
OEM Service: Yes
Small Orders Accepted: Yes
Export Markets: Australasia, Central/South America, Asia, Western Europe, North America, Mid East/Africa, Eastern Europe",Supplier,,"I. Seafood 
i. Fish
1. Mackerel Fish
2. RED TILAPIA FISH
3. Dry Stockfish
4. Tuna
5. Salmon

ii. Sea Cucumber
iii. Shrimp
iv. Crab
v. Lobster

II. Fruit and Vegetables
1. Garlic

III. Daily Product

IV. Agricultural
1. Seed

V. Industrial

VI. Materials","1. Wholesale Frozen Mackerel Fish For Sale In Cheap: US$ 40 / 1 Metric Tonne  23 Metric Tonnes Minimum order
2. FROZEN BLACK TILAPIA/RED TILAPIA FISH: US$ 34 / 1 Metric Tonne 23 Metric Tonnes Minimum order
3. HIGH QUALITY Dry Stock Fish / Dry Stock Fish Head / dried salted cod Dry Stockfish: US$ 100 / 1 Metric Tonne
24 Metric Tonnes Minimum order
4. 2024 Sale Top Quality Whole Round Bonito Tuna Fish For sale: US$ 400 / 1 Metric Tonne  5 Metric Tonnes Minimum order
",,,,,,,,,,,
61,ANTO COMPANY LIMITED,Thailand,"Company Overview
Offering sustainable solutions for agricultural supplies with GMP certification
OEM/ODM services available|20,000sqm factory|

OEM/ODM Enterprise with a 20,000sqm Factory
Anto Company Limited is a professional OEM/ODM processing enterprise. We integrate the R&D, production, and sale as one. We have a factory covering an area of more than 20,000 square meters. The construction conditions of our workshop are completely following the GMP certification required, and we have passed the ISO 9001 certification.

Advanced Production Equipment
Our stock room, laboratory, filling, inner packaging sterilization storage, and locker room adopt 100,000-grade purification standards, and other regions comply with 300,000-grade air purification standards. Currently, we have a number of modern production lines. We set the domestic advanced emulsion, automatic filling, sterilization, and testing equipment with various kinds of cream, shampoo, and cosmetics production conditions and abilities.

Exporting to Europe, the United States, Southeast Asia, the Middle East
At the same time, the factory not only can produce a variety of forms and specifications of cosmetics but also can realize the detection of cosmetics in all routine inspection items, ensuring the safety of the products. We provide the most suitable product formula for all kinds of skin around the world. Our products are exported all over the world, such as Europe, the United States, Southeast Asia, the Middle East, and Africa.
Contact us now to learn more.",Distributor,"1. Distributor
2. Manufacturer
3. Wholesaler
4. Trading Company
5. Exporter",http://www.globalsources.com/antocompany.co,"2/55 Soi Sukhumvit 41, Klongtonnua, Wattana, 10110 Bangkok, Thailand/TH","Ms. Kato Yasuyo
CEO",,,,"Established: 2023
Export Percentage: 65 percent to 69 percent
OEM Service: Yes
Small Orders Accepted: Yes
Export Markets: North America, Western Europe, Mid East/Africa, Eastern Europe, Central/South America, Australasia Asia",Supplier,,"I Seafood
i. Fish
1. Salmon Fish
ii. Crab
iii. Lobster

II. Agricutural
1. Rice
2. Oil 
3. green cardamom seeds
4. Sesame Seed
5. Pasta
6. Wheat Flour

III. Poultry and Livestock
1. Chicken
2. Beef

IV. Snack and Drinks

V. Materials
1. Paper

VI. Industrial

","1. New Arrival Salmon Fish Frozen Fillet Fresh And Frozen Atlantic Salmon Fish/Whole Frozen Salmon/Salmon Head For Sale: US$ 4 - 6 / 1 Kilogram  490 Kilograms Minimum order
2. Wholesale Price Salmon Fish Frozen Fillet Fresh And Frozen Atlantic Salmon Fish: US$ 4 - 6 / 1 Kilogram
490 Kilograms Minimum order
3. Best Quality Frozen Atlantic Salmon Fish Frozen Ice Fresh Pacific Salmon for saleBest Quality Frozen Atlantic Salmon Fish Frozen Ice Fresh Pacific Salmon for sale: US$ 4 - 6 / 1 Kilogram   490 Kilograms Minimum order
4. Quality Fresh and Frozen Atlantic Salmon Fish / Whole frozen salmon Fish /Salmon Head for sale: US$ 4 - 6 / 1 Kilogram
490 Kilograms Minimum order
",,,,,,,,,,,
62,Romine Dover LLC,United States,"Company Overview
Quality Auditors with 10 Years of Working Experience
Serving for Walmart, Amazon, and Walgreens|Since 2021|OEM/ODM Services

Top Trading Company of Cosmetic Products and Beverages for 6 Years
Romine Dover LLC is a well-reputed trading company dealing with cosmetic and beverage products. However, it has been engaged in the export business for 6 years. We have passed the ISO 9007 and CCC certifications. Our major export markets are Europe, the United States, India, Australia, France, Africa, and Canada. 

Our Main Products
We currently conduct business in different sectors of food and beverage like beef cuts, pork cuts, chicken cuts, seafood, chocolate, ice cream powder, honey, eggs & dairy products, fresh fruits & vegetables, nuts, spices, alcoholic beverages, and drinks. We also provide import & export agency services for baby skin care products, skin care products, beauty products, body sprays, deodorants & antiperspirants, 1,000cc quad bikes (motor for ATV), disposable lighters, powdered chemicals, and more.

Backed by 85 Well-trained and Skillful R&D Personnel
We have 50 R&D staff, and each of them has 15 years of working experience. The sampling cycle is 20 days. We have 10 quality auditors, each of whom has 18 years of QA working experience. Additionally, there are 30 foreign trade staff who have 12 years of working experience.

Answering Inquiries Within 24 Hours
Our professional sales personnel will respond to inquiries within 24 hours. Contact us now to begin sourcing.",Distributor,"1. Agent
2. Online Seller
3. Retailer
4. Exporter
5. Buying Office
6. Importer
7. Trading Company
8. Distributor
9. Manufacturer
10. Wholesaler",http://www.globalsources.com/rominedover.co,"504 SANDPOINT AVENUE, 83864 SANDPOINT, IDAHO, UNITED STATES OF AMERICA/US","Mr. Romine Michael
CEO",,,,"Established: 2019
Total Annual Sales: US$500,000 to 599,999
Export Percentage: 85 percent to 89 percent
OEM Service: Yes
Small Orders Accepted: Yes
Export Markets: Asia, Australasia, Central/South America, Eastern Europe, Mid East/Africa, North America, Western Europe
Main Competitive Advantages
Buyer's Specifications Accepted, Experienced R&D Department, Large Product Line, OEM Capability, Production Capacity, Reliability, Reputation",Supplier,,"I. Seafood
i.Fish
1. Cod Fish
2. Salmon Fish
3. Tuna Fish
ii. Shrimp

II. Poultry and Livestock
1. Chicken
2. Beef

III. Agricultural
1. Nuts
2. Oil

IV. Snack and Drinks

V. Daily Products

VI. Pet Food","1. Wholesale Black Cod, Whole Fish Frozen Cod and salted dry cod fish: US$ 350 - 500 / 1 Metric Tonne
10 Metric Tonnes Minimum order
2. Fresh Salmon Fish: US$ 250 - 350 / 1 Metric Tonne   5 Metric Tonnes Minimum order
3. Wholesale Supplier of Frozen & Fresh Tuna Fish: US$ 550 - 750 / 1 Metric Tonne   1 Metric Tonne Minimum order
",,,,,,,,,,,
63,"
ACF TRADING INC",Canada,"Company Overview
Exporting bags to the US, Europe, and Asia for more than 10 years
5,400sqm workplace|35 R&D engineers|55 skilled workers

Producing Over 100,000 Bags Monthly
Acf Trading Inc. has over 10 years of bag manufacturing experience. Our factory covers more than 13,000 sqm and employs over 300 experienced sewing workers, who maintain a monthly output of 100,000 pieces.

Meeting EN71, CPSIA, REACH, and RoHS Standards
Our company has professional clerks who enable us to supply famous partners including Ariat, Ogio, Target, Walt Disney, and Mountain. Our strict management makes sure that our products meet customer requirements and demands for different market levels, and our experienced QC teams mandate high quality and quantity. We use only eco-friendly fabrics that can meet EN 471, CPSIA, REACH, and RoHS standards, and all our products for children are submitted to TUV for testing before shipment.

Answering Inquiries Within 24 Hours
Our professional sales personnel will respond to inquiries within 24 hours. Contact us now to begin sourcing.",Distributor,"1. Agent
2. Distributor
3. Wholesaler
4. Manufacturer
5. Trading Company
6. Exporter
7. Online Seller",http://www.globalsources.com/acftrading.co,"
120 HAWKSHAW CRESCENT, K2J 0J6 OTTAWA, ONTARIO, CANADA/CA","Mr. HAJJAR FADY
CEO",,,,"Established: 2012
Total Annual Sales: US$15,000,000 to 19,999,999
Export Percentage: 85 percent to 89 percent
OEM Service: No
Small Orders Accepted: No
Export Markets: Asia, Australasia, Central/South America, Eastern Europe, Mid East/Africa, North America, Western Europe",Supplier,,"I. Seafood
i. Fish
1. Octopus
2. Cuttlefish
3.Red Pacu /Pomfret Fish
4. Cockles
5. Golden Pompano
6. Squid
7. scad fish
8. Horse Mackerel
9. Tilapia Fish
10. Catfish
11. Tuna
ii. Sea Cucumber
iii. Shrimp
iv. Crab
v. Lobster

II. Agricultural
1. Beans
2. Nuts

III. Fruit and Vegetables
1. Potato
2. Onion
3. Dried Grape
4. Corn
5. Cabbage
6. Carrot
7. Avocado
8. Chili

IV. Poultry and Livestock
1. Beef
2. Lamb

V. Snack and Drinks

VI. Daily Products","1. Frozen IQF and Clean Giant Octopus Fresh live frozen octopus/ seafood baby octopus wholesale Frozen Whole Cleaned Baby Octopus: US$ 3000 - 4000 / 1 Ton (US)    1 Ton (US) Minimum order
Quantity                      FOB Price
1? Tons (US)            US$ 4000
>=5 Tons (US)            US$ 3000

2. Chinese Origin Frozen Cuttlefish Whole Cleaned Whole Round Frozen Cuttlefish Fillet Frozen Cuttlefish Tentacle Baby Cuttlefish: US$ 3000 - 4000 / 1 Ton (US)       1 Ton (US) Minimum order
Quantity                   FOB Price
1? Tons (US)          US$ 4000
>=5 Tons (US)         US$ 3000

3. High Quality Large yellow frozen Croaker fish farming China best Frozen Whole Round Frozen Red Pacu /Pomfret Fish: US$ 800 - 1000 / 1 Ton (US)         1 Ton (US) Minimum order
Quantity                   FOB Price
1? Tons (US)          US$ 1000
>=5 Tons (US)          US$ 800

4. Frozen Abalone with Shell Frozen Wholesale Abalone Frozen Farreri Scallop Frozen Half Shell Oyster Meat Frozen Cockles: US$ 6000 - 7000 / 1 Ton (US)           1 Ton (US) Minimum order
Quantity                     FOB Price
1? Tons (US)            US$ 7000
>=5 Tons (US)           US$ 6000

5. Frozen Pompano Fresh Fish Whole Round Golden Pomfret IQF Golden Pompano Chinese Whole Round Fresh Frozen Factory Outlet 600-80: US$ 800 - 1000 / 1 Ton (US)      1 Ton (US) Minimum order
Quantity                   FOB Price
1? Tons (US)         US$ 1000
>=5 Tons (US)         US$ 800

6. Frozen giant squid , fresh squid illex argentingus squid, frozen giant squid tube Supply Frozen Whole Round Squid/Giant Squid: US$ 1500 - 3000 / 1 Ton (US)       1 Ton (US) Minimum order
Quantity                 FOB Price
1? Tons (US)        US$ 3000
>=5 Tons (US)       US$ 1500

7. China export round scad fish, frozen pangasius fish maws, Whole Round Frozen Yellow Croaker Fish: US$ 1500 - 2000 / 1 Ton (US)       1 Ton (US) Minimum order
Quantity                   FOB Price
1? Tons (US)          US$ 2000
>=5 Tons (US)          US$ 1500

8. Frozen Golden Pompano Whole Round Fish 400-600g red drum fish Redfish Fillets Frozen Red Drum Fish Fillet frozen black pomfret: US$ 1500 - 2000 / 1 Ton (US)       1 Ton (US) Minimum order
Quantity                    FOB Price
1? Tons (US)           US$ 2000
>=5 Tons (US)          US$ 1500

9. Frozen Horse Mackerel, Pacific Mackerel Whole Round Fish With Size 300-500g 23cm+ Frozen Spanish Mackerel/Trachurus Fish wholesale: US$ 800 - 1000 / 1 Ton (US)       1 Ton (US) Minimum order
Quantity                   FOB Price
1? Tons (US)          US$ 1000
>=5 Tons (US)          US$ 800

10. Frozen Sardine Fish Wholesale Sardines for Bait, Whole Round Tilapia Fish, Red Tilapia Sale Frozen Catfish Fillet/Tapah Fillet: US$ 1500 - 2000 / 1 Ton (US)      1 Ton (US) Minimum order
Quantity                   FOB Price
1? Tons (US)          US$ 2000
>=5 Tons (US)          US$ 1500

11. Frozen Whole Round Catfish & Catfish Fillets/ China Farm Raised Frozen Whole Round Catfish bullhead exporters frozen fresh catfish: US$ 1500 - 2000 / 1 Ton (US)        1 Ton (US) Minimum order
Quantity                      FOB Price
1? Tons (US)             US$ 2000
>=5 Tons (US)             US$ 1500

12. Frozen Yellowfin Tuna Yellowfin Tuna Loin Yellowfin Tuna Steak Yellowfin Tuna Ground Meat Yellowfin Tuna Strip Yellowfin Tuna Kama: US$ 4500 - 5000 / 1 Ton (US)        1 Ton (US) Minimum order
Quantity                      FOB Price
1? Tons (US)            US$ 5000
>=5 Tons (US)            US$ 4500






",,,,,,,,,,,
64,CHASSIS DEPOT LLC,United States,"Company Overview
Exporting 500 chassis units to North and South America
1,500sqm factory|16 engineers|26 skilled workers

Established in 2013
Established in 2013, our company has been specialized in intermodal chassis, tri-axle container chassis, used tank chassis for sale, and other used/new chassis and shipping containers. Having engaged in export for more than 10 years, our main markets are South America, Africa, Central America and North America.

60-100 Units Produced Every Month
Walmart comes to us for our high-quality products and customer services. We have a factory covering an area of 1,500 square meters. Backed by 26 employees and one production line, we can turn out 60-100 units of products every month. And, we can ensure the shortest delivery time of 12-14 days.

Excellent R&D and OEM/ODM Capabilities
We have four R&D personnel averaging four years of working experience, who can develop 4 new products monthly. The new product development cycle is 7 days. We can provide OEM/OEM services for our customers. With excellent R&D capability, we can meet different customer requirements.

Contact Us Now
With 12 foreign trade staff, we can handle customer ordes without hassle. Contact us now to learn more about us.",Distributor,"1. Exporter
2. Agent
3.Trading Company
4. Wholesaler
5. Distributor",http://www.globalsources.com/chassisdepotllc.co,"10805 Northwest 23 Street, 33172 Miami, Florida, United States of America/US","Ms. Reina Torres
Manager",,,,"Established: 2013
Total Annual Sales: US$300,000 to 399,999
Export Percentage: NA
OEM Service: No
Small Orders Accepted: Yes
Export Markets: Asia, Australasia, Central/South America, Eastern Europe, Mid East/Africa, North America, Western Europe",Supplier,,"I.Seafood
i. Fish
1. Atlantic mackerel 
2. Salmon 
3. Dried Cod Fish Maw
ii. King Crab

II. Industrial","1. Atlantic mackerel - Scomber scombrus; WR, 400-600g; Sea frozen in 20kg Blocks or IQF: US$ 1.35 - 2.25 / 1 Ton (UK)
25 Tons (UK) Minimum order
2. Frozen Mackerel Fish 300-500gr 400-600, 600gr+; 20Kg, Sea-frozen; Scomber scombrus; 20 kg blocks, FAO 27 ?Norway: US$ 1.35 - 2.25 / 1 Ton (UK)     25 Tons (UK) Minimum order
3. Frozen Mackerel Whole Round IQF 2/3 PPK | 300/500g, 400/600gr 600gr+ | 20kg NW. Scomber scombrus - Mackerel WR - FAO 27 ?Norway: US$ 1.35 - 2.25 / 1 Ton (UK)     25 Tons (UK) Minimum order
4. Salmon Fillets | Atlantic Salmon (Salmo salar) | Trim C,D & E | Skin-On and Skinless(Skin off) | Norwegian Salmon Fillet:US$ 9.2 / 1 Box     108 Boxes Minimum order 
5. Salmon Bellies (Salmo Salar) 5cm+ | Salmon Belly Flaps By-Products 3-5cm - Blockfrozen, 10kg/Ctn - Approved for Vietnam: US$ 2.15 / 1 Metric Tonne   26 Metric Tonnes Minimum order
6. Salmon Bits and Pieces, Blockfrozen | Skin On / Skin Off | Blockfrozen, 10kg/ Ctns - Salmo salar | Bits & Pieces from Fillets: US$ 5.5 / 1 Metric Tonne      26 Metric Tonnes Minimum order
7. FROZEN SALMON HEADS 450gr+ / BELLIES-BELLY FLAPS 5CM+ | Salmon By-Products | Packing:10kg, 15kg/Ctn (Salmo salar) - Norway: US$ 1.85 / 1 Metric Tonne    26 Metric Tonnes Minimum order
8. Salmon fillet Trim E 1.2-1.4kg IVP frozen (Salmo salar) | Atlantic Salmon Head-on, Gutted, 5-7kg+ | Fresh/Chilled or Frozen: US$ 6.55 / 1 Box   108 Boxes Minimum order
",,,,,,,,,,,
65,Tic Ventures Corp,Canada,"Company Overview

Supplying mining, gaming, and wire harness products since 2002
ISO 9001- and SGS-certified|OEM/ODM service|

Supplying Products Since 2002
Tic Ventures was first established in 2002 and operates subsidiaries including TIC Ventures Corp. With a history of almost two decades, we boast long-term and stable technical and management teams. We can provide design options that truly satisfy customers, from materials to structures and practical applications, with our product range including mining, gaming, and wire harness products.

ISO 9001 and SGS Certifications
Our 1,000-level purification workshop is equipped with many different types of automation and special equipment that are not available on the market and employs more than 100 staff to develop products that are exported to dozens of countries around the world. All products have passed international EU standards and SGS testing, and meet the standards outlined in our ISO 9001:2015 certification. Besides, we own more than 12 self-owned patents and 60 authorized partner patents.

Offering OEM/ODM Service
Our products are mainly exported to customers in Asia and North America, with OEM and ODM services available upon request.

Work with Us Today
Contact us for more details.",Distributor,"1.  Exporter
2. Manufacturer
3. Distributor
4. Wholesaler
5. Trading Company
6. Retailer",http://www.globalsources.com/ticventures.co,"3-35 Stone Church Road, Suite 331, 
L9K 1S5 Ancaster, Ontario, Canada/CA","Mr. Jamil Lamar
-Sales manager",,,,"Established: 2011
Total Annual Sales: Choose Not to Disclose
Export Percentage: 15 percent to 19 percent
OEM Service: No
Small Orders Accepted: No
Brand Names: Redbull,Cocacola,pepsico,Colgate,BIC,Cerave,P&G,Nestle,Univeler,Yamaha,Hero cosmetic ,Mondelez international,Cream delux,Corona,Heineken ,Mas
Payment Terms: LC,TT
Main Competitive Advantages: Buyer's Specifications Accepted, Large Product Line, OBM (Own Branding & Manufacturing), ODM (Original Designing & Manufacturing), OEM Capability, Reliability
Other Competitive Advantages: NA
Major Customer: USA, Europe, South America, Asia, Australia, Africa, middle east, North America, World wide
Export Markets: Asia, Australasia, Central/South America,
Eastern Europe, Mid East/Africa, North America, Western Europe",Supplier,,"I. Seafood
i. Fish
1. Hake Fish
2. Bonito Flakes Katsuobush
ii. Crab
iii. Shrimp
iv. Sea Cucumber

II. Poultry and Livestock
1. Chicken
2. Lamb
3. Beef

III. Agricultural
1. Nut

IV. Snack and Drinks

V. Daily Products

VI. Chemicals


","1. Fresh Hake fish / Frozen Hake Fish/Frozen Pacific Hake Fillets Fish: US$ 700 / 1 Metric Tonne   1 Metric Tonne Minimum order
2. Bonito Flakes Katsuobushi 500g and 50g package: US$ 40 / 1 Carton   5 Cartons Minimum order",,,,,,,,,,,
66,"ACCEL AGRICULTURE CO., LTD.",Thailand,"Company Overview
OEM/ODM enterprise with a 20,000sqm factory
GMP certification|Since 2021|Samples available

OEM/ODM Enterprise with a 20,000sqm Factory
Accel Agriculture Co., Ltd. is a professional OEM and ODM processing enterprise. We integrate the R&D, production and sale as one. We have a factory covering an area of more than 20,000 square meters.

Passed ISO 9001 Certification
The construction conditions of our workshop are completely following the GMP certification required, and we have passed the ISO 9001 certification. Our stock room, laboratory, filling, inner packaging sterilization storage and locker room adopt 100,000-grade purification standards, and other regions comply with 300,000 air purification standards.

Our Advantages
Currently, we have a number of modern production lines. We set the domestic advanced emulsion, automatic filling, sterilization and testing equipment, with various kinds of cream, shampoo, and cosmetics production conditions and abilities. At the same time, the factory not only can produce a variety of forms, specifications, and varieties of cosmetics but also realize the detection of cosmetics in all routine inspection items, a full range of ensuring the safety of the product.

Exporting to the United States, Southeast Asia, the Middle East
We provide the product formula most suitable for all kinds of skin around the world population. Our products are exported all over the world, such as Europe, the United States, Southeast Asia, the Middle East, and Africa.
Contact us now to learn more.",Distributor,"1. Agent
2. Manufacturer
3. Wholesaler
4. Distributor",http://www.globalsources.com/accelagriculture.co,"102/149 MOO 7, T. BANGPHLIYAI, A. BANGPHLI, 10540 SAMUTPRAKARN, THAILAND/TH","Mrs. PINT SAHASA
CEO",,,,"Established: 2021
Total Annual Sales: US$25,000,000 to 29,999,999
Export Percentage: 75 percent to 79 percent
OEM Service:Yes
Small Orders Accepted: Yes
Brand Names: NA
Payment Terms: NEGOTIABLE
Main Competitive Advantages: Experienced R&D Department, Large Product Line, OBM (Own Branding & Manufacturing), OEM Capability, Production Capacity
Other Competitive Advantages: NA
Major Customer: NA
Export Markets:  Asia, Australasia, Central/South America, Eastern Europe, Mid East/Africa, North America, Western Europe",Supplier,,"I. Seafood
i. Fish
1.  Horse Mack
ii. Sea Cucumber
iii. Shrimp

II. Fruit and Vegetables
1. Corn

III. Agricultural
1. Nuts and Kernels

IV. Spices and Herbs

V. Industrial
1. Scrap
2. Copper Wire
3. Charcoal","1. Wholesale Premium Quality Thailand Seafood Healthy Seafood High Protein Frozen Mackerel Fish/ Whole Round Horse Mackerel: US$ 200 / 1 Ton (UK)  10 Tons (UK) Minimum order
2. Wholesale Healthy Seafood High Protein Good Quality Whole Frozen Chub Mackerel Fish: US$ 150 / 1 Ton (UK)    10 Tons (UK) Minimum order",,,,,,,,,,,
67,"HAINAN OCEAN WORDS TRADE CO.,Ltd",China,"Company Overview

HAINAN OCEAN WORDS TRADE CO.,Ltd is a supplier of tilapia fillet, tilapia whole round,  golden pompano , loligo, seafood mix,catfish, our products with HACCP, BRC, BAP Certificate from Hainan, China.

Here are our products

1. Frozen Tilapia fish whole clean WGS, WGGS, fillet, steaks, red tilapia whole clean WGS, WGGS, steaks.

2. Frozen Golden pompano / pomfret whole round

3. Frozen Squid tube, ring, flower, strip, T+T, breaded squid ring / Calamari ring (Gigas, Batrami, Illex, Todarodes)

4.   Frozen Pacific mackerel whole round, HG, HGT, fillet, buttterfly fillet, pre-cooked mackerel loin

5.  shrimp

If you interest above products or other seafood origin China , please feel free to contact us, we will try best to offer most competitive price with premium quality for you.",Distributor,"1. Manufacturer
2. Exporter
3. Trading Company",https://oceanwords.en.ecplaza.net,"Guangming Mansion, Fucheng Street Office, Qiongshan District, Haikou City","Ms. Pamela huang
Sales Manager",,,seafood1@oceanwordstrade.ltd ,Established: 2020,Supplier,,"I. Seafood
i. Fish
1. Squid
2. Catfish
3. Yellow Tail Fish
4.  Pangasiu
5. Pacific Saba Mackerel Fish 
6.  Tilapia 
ii. Shrimp
iii. Value Added
1. Seafood Mix


","1. Blanco Frozen Pangasius Fillets, (pangasius Hypophthalmus) ,Filete De Basa, Basa Rojo: US$ 1        >=25 Tons (US)
2. Pangasius Hypophthalmus Frozen Pangasius steack , Filete De Basa, Basa Rojo: US$ 1        >=25 Tons (US)
3. Maquereau Hoese 150-200g Scomber Japonicus /scad Pacific Saba Mackerel Fish Frozen/TRACHURUS JAPONICUS/Horse mackerel:  US$ 1        >=25 Tons (US)
4. Frozen Tilapia Fillet, 2-3/3-5/5-7oz Filete De Tilapia 100%nw Oreochromis niloticusz: US$ 1        >=25 Tons (US)
",,,,,,,,,,,
68,Zhoushan Huiyetiancheng Aquatic Product Co. Ltd,China,,Distributor,"1. Exporter
2. Manufacturer
3. Trading ",,"Address: No 81 Xincheng Road, Puxi Industrial Park, Putuo District
City: Zhoushan
Region: China
State / Province: Zhejiang
Zip /Postal Code: 316101","Mrs. Celia Pan
Sales",,,,"Established: 2006
Total Annual Sales: US$30,000,000 to 34,999,999",Supplier,,"I. Seafood 
i. Fish
1. Mackerel Fish
2. Monk Fish
3. Mahi Mahi
4. John Dory
5. Squid
","1. Frozen Mackerel Fillet: US$ 0.3 - 10 / 1 Ton (UK)         8000 Tons (UK) Minimum order
2. Frozen Mahi Mahi Fillet: US$ 0.1 - 1.1 / 1 Ton (UK)      9000 Tons (UK) Minimum order
3. Frozen John Dory Fillet: US$ 0.1 - 1 / 1 Ton (US)           20000 Tons (US) Minimum order
4. Frozen Squid Tube: US$ 0.1 - 10 / 1 Ton (UK)               20000 Tons (UK) Minimum order",,,,,,,,,,,
69,"Xiamen Tazmeen Trading CO.,LTD.",China,,Distributor, Export Service,,"Address: Rm. A525, Tonglin Plaza, No. 3, Cha
City: Xiamen
Region: China
State / Province: Fujian
Zip /Postal Code: ","Ms. Kacy Wu
Salesperson",,,,,Supplier,,"I. Seafood
i. Fish
1. Squid
2. Abalone
3.  Black 
4. Tilapia
5. sardine 
6.  Pacific Mackerel
7. Yellow Croaker Fish
8. Tuna Fish
9. Octopus
10. Tilapia fish
ii. Shrimp
iii. Crab
iv. Canned Seafood

II. Fruit and Vegetables
i. Canned Fruit
1. Cherry
2. Apricot
3. Apple
4. Strawberry
5. Yellow Peach
6. Logan
7. Lychee
8. Pear
ii. Canned Vegetables
1. Chick Pea
2. Corn
3. Cucmber

III. Sauce


","1. Wholesale Frozen Seafood Squid Strip: US$ 2.95 - 3.2 / 1 Kilogram     10000 Kilograms Minimum order
2. Good price Tilapia fillet Frozen Tilapia fish fillet: US$ 1900 - 2900 / 1 Ton (US)    10 Tons (US) Minimum order
",,,,,,,,,,,
70,Eternal International Trade Co. Ltd,China,,Distributor,"1. Buying Office
2. Distributor
3. Exporter
4. Importer
5. Trading Company
6. Wholesaler",,"Address: No.32,Jintan Road
City: Qingdao
Region: China
State / Province: Shandong
Zip /Postal Code: 266600","Mr.  Wang
Sales",,,,"Established: 2009
Total Annual Sales: US$500,000,000 to 999,999,999",Supplier,,"I. Seafood
i. Fish
1. Horse Mackerel
2. frozen arrowtooth flounde
3.  pollock","1. frozen arrowtooth flounder fillet: US$ 2200 - 2600 / 1 Kilogram         9000 Kilograms Minimum order
2. frozen pollock fillet: US$ 1600 - 2500 / 1 Kilogram                             9000 Kilograms Minimum order
",,,,,,,,,,,
71,Beihai Qiangyu Food Co. Ltd,China,,Distributor, Manufacturer,,"Address: No.12 Hongkong Road, Beihai Industrial Park
City: Beihai
Region: China
State / Province: Guangxi
Zip /Postal Code: 536000","Mrs. Tina Teng
Salesperson",,,,,Supplier,,"I. Seafood
i. Fish
1. Black Squid
2. Sardine
3. Cuttlefish
4. Mackerel
5. Tuna
6. Monkfish
7. Stingray fish
8. Eel
9. tilapia fish
10. Frozen golden pomfret/pompano fish
11. Scad Fish
ii. Shrimp","1. Frozen fish gutted frozen monkfish: US$ 1 - 5 / 1 Ton (US)   28 Tons (US) Minimum order
2. Best selling products frozen stingray fish/Raja Porosa fillet: US$ 3 - 5 / 1 Ton (US)    28 Tons (US) Minimum order
3. New Arrival Frozen IQF Conger Eel Fillet: US$ 0.65 - 1.65 / 1 Ton (US)      28 Tons (US) Minimum order
4. IQF Monkfish Fillet Aquatic product frozen fish seafood seafish:  25 Tons (UK) (MOQ)
5. Frozen Squid Fillet Aquatic product frozen fish seafood seafish:  25 Tons (UK) (MOQ)
6. IQF Pompano Golden pomfret Fillet Aquatic product frozen fish seafood seafish: 25 Tons (UK) (MOQ)
7. IQF Skate fish Fillet: : 25 Tons (UK) (MOQ)
8. Frozen Filefish Fillet Aquatic product frozen fish seafood seafish: 25 Tons (US) (MOQ)
",,,,,,,,,,,
